date,asset,score,mentions,signal_tweets,kols,bullish,bearish
2026-06-08,energy,-32.3,9,6,6,2,4
2026-06-08,metals,,0,0,0,0,0
2026-06-08,grains,,0,0,0,0,0
2026-06-08,softs,,0,0,0,0,0
2026-06-09,energy,-100.0,6,2,4,0,2
2026-06-09,metals,-100.0,1,1,1,0,1
2026-06-09,grains,-14.4,2,2,2,1,1
2026-06-09,softs,,0,0,0,0,0
2026-06-10,energy,-33.4,13,4,8,1,3
2026-06-10,metals,100.0,5,1,5,1,0
2026-06-10,grains,,1,0,1,0,0
2026-06-10,softs,,0,0,0,0,0
2026-06-11,energy,-36.0,9,6,8,2,4
2026-06-11,metals,-100.0,3,2,3,0,2
2026-06-11,grains,,0,0,0,0,0
2026-06-11,softs,,0,0,0,0,0
2026-06-12,energy,-23.5,12,2,7,1,1
2026-06-12,metals,,1,0,1,0,0
2026-06-12,grains,100.0,6,3,2,3,0
2026-06-12,softs,,1,0,1,0,0
2026-06-15,energy,-4.5,4,2,3,1,1
2026-06-15,metals,,1,0,1,0,0
2026-06-15,grains,,1,0,1,0,0
2026-06-15,softs,,0,0,0,0,0
2026-06-16,energy,-21.9,11,5,7,2,3
2026-06-16,metals,-100.0,3,1,2,0,1
2026-06-16,grains,-20.4,2,2,2,1,1
2026-06-16,softs,,0,0,0,0,0
2026-06-24,energy,-100.0,14,3,9,0,3
2026-06-24,metals,-32.0,4,3,4,1,2
2026-06-24,grains,,1,0,1,0,0
2026-06-24,softs,,0,0,0,0,0
2026-06-30,energy,-37.0,12,9,7,3,6
2026-06-30,metals,,1,0,1,0,0
2026-06-30,grains,2.0,3,2,3,1,1
2026-06-30,softs,,0,0,0,0,0
2026-07-01,energy,-100.0,8,3,7,0,3
2026-07-01,metals,-15.4,2,2,2,1,1
2026-07-01,grains,100.0,5,1,2,1,0
2026-07-01,softs,,0,0,0,0,0
2026-07-02,energy,-35.7,9,4,7,1,3
2026-07-02,metals,100.0,6,2,5,2,0
2026-07-02,grains,,0,0,0,0,0
2026-07-02,softs,,0,0,0,0,0
2026-07-03,energy,-63.9,8,6,5,1,5
2026-07-03,metals,4.6,3,2,3,1,1
2026-07-03,grains,,1,0,1,0,0
2026-07-03,softs,,0,0,0,0,0
2026-07-06,energy,6.4,9,2,6,1,1
2026-07-06,metals,,1,0,1,0,0
2026-07-06,grains,,0,0,0,0,0
2026-07-06,softs,,0,0,0,0,0
2026-07-07,energy,,1,0,1,0,0
2026-07-07,metals,,1,0,1,0,0
2026-07-07,grains,,0,0,0,0,0
2026-07-07,softs,,0,0,0,0,0
2026-07-08,energy,-43.5,5,3,5,1,2
2026-07-08,metals,,1,0,1,0,0
2026-07-08,grains,,0,0,0,0,0
2026-07-08,softs,,0,0,0,0,0
2026-07-09,energy,,3,0,2,0,0
2026-07-09,metals,100.0,1,1,1,1,0
2026-07-09,grains,,1,0,1,0,0
2026-07-09,softs,,0,0,0,0,0
2026-07-10,energy,,3,0,3,0,0
2026-07-10,metals,,1,0,1,0,0
2026-07-10,grains,,0,0,0,0,0
2026-07-10,softs,,0,0,0,0,0
2026-07-11,energy,,1,0,1,0,0
2026-07-11,metals,-100.0,2,2,1,0,2
2026-07-11,grains,,0,0,0,0,0
2026-07-11,softs,,0,0,0,0,0
2026-07-12,energy,,0,0,0,0,0
2026-07-12,metals,,0,0,0,0,0
2026-07-12,grains,,0,0,0,0,0
2026-07-12,softs,,0,0,0,0,0
2026-07-13,energy,3.7,4,2,4,1,1
2026-07-13,metals,,0,0,0,0,0
2026-07-13,grains,100.0,1,1,1,1,0
2026-07-13,softs,,0,0,0,0,0
2026-07-14,energy,100.0,2,1,2,1,0
2026-07-14,metals,100.0,2,1,2,1,0
2026-07-14,grains,,0,0,0,0,0
2026-07-14,softs,,0,0,0,0,0
2026-07-15,energy,-100.0,1,1,1,0,1
2026-07-15,metals,100.0,2,1,2,1,0
2026-07-15,grains,,0,0,0,0,0
2026-07-15,softs,,0,0,0,0,0
2026-07-16,energy,-100.0,1,1,1,0,1
2026-07-16,metals,,0,0,0,0,0
2026-07-16,grains,,0,0,0,0,0
2026-07-16,softs,,0,0,0,0,0
2026-07-17,energy,100.0,3,1,3,1,0
2026-07-17,metals,,0,0,0,0,0
2026-07-17,grains,,0,0,0,0,0
2026-07-17,softs,,0,0,0,0,0
2026-07-18,energy,,2,0,2,0,0
2026-07-18,metals,,0,0,0,0,0
2026-07-18,grains,,1,0,1,0,0
2026-07-18,softs,,0,0,0,0,0
2026-07-19,energy,100.0,2,2,2,2,0
2026-07-19,metals,100.0,1,1,1,1,0
2026-07-19,grains,,0,0,0,0,0
2026-07-19,softs,,0,0,0,0,0
2026-07-20,energy,100.0,3,2,3,2,0
2026-07-20,metals,,0,0,0,0,0
2026-07-20,grains,,0,0,0,0,0
2026-07-20,softs,,0,0,0,0,0
2026-07-21,energy,100.0,4,2,4,2,0
2026-07-21,metals,-100.0,1,1,1,0,1
2026-07-21,grains,,0,0,0,0,0
2026-07-21,softs,,0,0,0,0,0
